Id,BldgType,LotArea,GrLivArea,YearBuilt,YrSold,SalePrice
1,1Fam,8450,1710,2003,2008,208500
2,1Fam,9600,,1976,2007,181500
3,1Fam,11250,1786,2001,2008,223500
4,1Fam,9550,1717,1915,2006,140000
5,1Fam,14260,2198,2000,2008,250000
6,1Fam,14115,1362,1993,2009,143000
7,1Fam,10084,1694,2004,2007,307000
8,1Fam,10382,2090,1973,2009,200000
9,1Fam,6120,1774,1931,2008,129900
10,2fmCon,7420,,1939,2008,118000
11,1Fam,11200,1040,1965,2008,129500
12,1Fam,11924,2324,2005,2006,345000
13,1Fam,12968,912,1962,2008,144000
14,1Fam,10652,1494,2006,2007,279500
15,1Fam,10920,1253,1960,2008,157000
16,1Fam,6120,,1929,2007,132000
18,Duplex,10791,1296,1967,2006,90000
19,1Fam,13695,,2004,2008,159000
20,1Fam,7560,1339,1958,2009,139000
21,1Fam,14215,2376,2005,2006,325300
22,1Fam,7449,1108,1930,2007,139400
23,1Fam,9742,,2002,2008,230000
24,TwnhsE,4224,1060,1976,2007,129900
26,1Fam,14230,1600,2007,2009,256300
29,1Fam,16321,1600,1957,2006,207500
30,1Fam,6324,,1927,2008,68500
31,1Fam,8500,,1920,2008,40000
32,1Fam,8544,1228,1966,2008,149350
33,1Fam,11049,1234,2007,2008,179900
35,TwnhsE,7313,1561,2005,2007,277500
36,1Fam,13418,2452,2004,2006,309000
37,1Fam,10859,1097,1994,2009,145000
38,1Fam,8532,1297,1954,2009,153000
40,Duplex,6040,,1955,2008,82000
41,1Fam,8658,1324,1965,2006,160000
42,1Fam,16905,1328,1959,2007,170000
43,1Fam,9180,884,1983,2007,144000
44,1Fam,9200,,1975,2008,130250
45,1Fam,7945,,1959,2006,141000
47,1Fam,12822,2149,2003,2009,239686
48,1Fam,11096,1656,2006,2007,249700
49,2fmCon,4456,,1920,2009,113000
50,1Fam,7742,955,1966,2007,127000
51,1Fam,13869,1470,1997,2007,177000
52,1Fam,6240,1176,1934,2006,114500
54,1Fam,50271,1842,1981,2006,385000
55,1Fam,7134,,1955,2007,130000
56,1Fam,10175,1425,1964,2008,180500
57,Twnhs,2645,1739,1999,2009,172500
58,1Fam,11645,1720,2004,2006,196500
59,1Fam,13682,2945,2006,2006,438780
60,1Fam,7200,,1972,2008,124900
61,1Fam,13072,1158,2004,2006,158000
62,1Fam,7200,1111,1920,2007,101000
63,TwnhsE,6442,,2006,2007,202500
65,1Fam,9375,2034,1997,2009,219500
66,1Fam,9591,,2004,2007,317000
68,1Fam,10665,,2003,2007,226000
70,1Fam,15593,2287,1953,2006,225000
71,1Fam,13651,2223,1973,2007,244000
72,1Fam,7599,845,1982,2007,129500
73,1Fam,10141,,1998,2009,185000
76,Twnhs,1596,,1973,2009,91000
77,1Fam,8475,,1956,2008,135750
78,1Fam,8635,1285,1948,2008,127000
80,1Fam,10440,1230,1910,2009,110000
81,1Fam,13000,2142,1968,2009,193500
82,TwnhsE,4500,1337,1998,2006,153500
83,1Fam,10206,,2007,2008,245000
84,1Fam,8892,1065,1960,2007,126500
85,1Fam,8530,,1995,2009,168500
86,1Fam,16059,2417,1991,2006,260000
87,1Fam,11911,,2005,2009,174000
88,TwnhsE,3951,1224,2009,2009,164500
89,1Fam,8470,1526,1915,2009,85000
90,1Fam,8070,990,1994,2007,123600
91,1Fam,7200,1040,1950,2006,109900
92,1Fam,8500,1235,1961,2006,98600
93,1Fam,13360,964,1921,2009,163500
94,2fmCon,7200,2291,1910,2007,133900
95,1Fam,9337,1786,1997,2007,204750
96,1Fam,9765,,1993,2009,185000
97,1Fam,10264,1588,1999,2006,214000
98,1Fam,10921,960,1965,2007,94750
103,Duplex,7018,1535,1979,2009,118964
105,1Fam,7758,1818,1931,2007,169500
106,1Fam,9375,1992,2003,2008,250000
107,1Fam,10800,1047,1885,2007,100000
